,,Chubu,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Chubu
2023/01/07,06:00,0,12064,486,0,218,0,20,0,3,1366,0,0,0,14157,19.91
2023/01/07,07:00,0,13084,512,1,216,445,10,0,3,1060,0,0,0,15331,22.66
2023/01/07,08:00,0,12859,493,0,203,2125,8,0,3,1025,0,0,0,16716,22.52
2023/01/07,09:00,0,12502,497,0,204,3345,3,0,3,450,0,0,0,17004,22.2
2023/01/07,10:00,0,10223,508,0,214,4757,7,0,3,795,0,0,0,16507,20.53
2023/01/07,11:00,0,8776,503,0,212,5892,8,-22,0,373,0,0,0,15742,20.57
2023/01/07,12:00,0,8538,473,0,214,5867,9,-251,0,0,-135,0,0,14715,18.18
2023/01/07,13:00,0,9557,484,0,214,4883,23,-26,0,0,-485,0,0,14650,19.81
2023/01/07,14:00,0,10298,505,0,211,3649,39,0,3,0,-321,0,0,14384,20.9
2023/01/07,15:00,0,12038,605,0,212,1681,50,0,3,0,-196,0,0,14393,19.73
2023/01/07,16:00,0,12512,844,0,213,159,57,0,3,1176,0,0,0,14964,21.69
2023/01/07,17:00,0,13544,965,0,218,0,90,0,31,1092,0,0,0,15940,23.92
2023/01/07,18:00,0,13523,987,0,218,0,133,0,3,1138,0,0,0,16002,24.15
2023/01/07,19:00,0,13628,989,0,219,0,156,0,45,715,0,0,0,15752,22.99
2023/01/07,20:00,0,13610,943,0,220,0,160,0,67,539,0,0,0,15539,23.26
2023/01/07,21:00,0,13041,684,1,219,0,144,0,3,875,0,0,0,14967,22.62
2023/01/07,22:00,0,12334,565,0,220,0,133,0,3,866,0,0,0,14121,21.78
2023/01/07,23:00,0,12411,502,0,220,0,134,0,3,471,0,0,0,13741,19.91
2023/01/08,00:00,0,10604,479,0,219,0,141,0,3,1610,0,0,0,13056,22.38
2023/01/08,01:00,0,9900,481,0,220,0,131,0,3,2102,0,0,0,12837,20.68
2023/01/08,02:00,0,9909,510,0,220,0,135,0,3,2188,0,0,0,12965,20.55
2023/01/08,03:00,0,9878,509,0,220,0,154,0,3,2264,0,0,0,13028,21.09
2023/01/08,04:00,0,9743,519,0,220,0,166,0,3,2222,0,0,0,12873,20
2023/01/08,05:00,0,9708,520,0,220,0,147,0,3,2257,0,0,0,12855,19.78
2023/01/08,06:00,0,9714,523,1,221,0,141,0,3,2361,0,0,0,12964,20.55
2023/01/08,07:00,0,10242,548,0,219,530,111,0,43,1983,0,0,0,13676,21.2
2023/01/08,08:00,0,9074,547,0,217,2775,96,0,3,1847,0,0,0,14559,18.79
2023/01/08,09:00,0,7275,576,0,218,4737,86,-157,0,1667,0,0,0,14402,17.95
2023/01/08,10:00,0,6750,578,0,217,5955,97,-947,0,1043,0,0,0,13693,9.81
2023/01/08,11:00,0,6774,551,0,218,6249,117,-1403,0,623,0,0,0,13129,5
2023/01/08,12:00,0,7048,551,0,219,5628,120,-1875,0,906,0,0,0,12597,4.65
2023/01/08,13:00,0,7132,544,0,218,4964,131,-1406,0,806,0,0,0,12389,0.71
2023/01/08,14:00,0,7057,585,0,220,4016,114,-1131,0,1445,0,0,0,12306,7.05
2023/01/08,15:00,0,8013,611,0,218,1996,107,-577,0,2174,0,0,0,12542,18.96
2023/01/08,16:00,0,9754,750,0,220,212,116,0,6,2086,0,0,0,13144,20.86
2023/01/08,17:00,0,11743,810,0,218,0,114,0,43,1671,0,0,0,14599,23.42
2023/01/08,18:00,0,11952,874,0,219,0,113,0,45,1622,0,0,0,14825,22.84
2023/01/08,19:00,0,12004,794,0,219,0,86,0,39,1614,0,0,0,14756,22.41
2023/01/08,20:00,0,11596,695,1,219,0,76,0,15,1971,0,0,0,14573,21.75
2023/01/08,21:00,0,11332,582,0,220,0,86,0,3,1912,0,0,0,14135,21.94
2023/01/08,22:00,0,10429,547,0,221,0,92,0,103,1939,0,0,0,13331,21.49
2023/01/08,23:00,0,10153,495,0,221,0,120,0,27,2026,0,0,0,13042,19.53
2023/01/09,00:00,0,9503,427,0,220,0,124,0,3,2124,0,0,0,12401,20.39
2023/01/09,01:00,0,8787,392,0,220,0,126,0,3,2799,0,0,0,12327,18.01
2023/01/09,02:00,0,8774,393,0,220,0,134,0,3,2951,0,0,0,12475,20.32
2023/01/09,03:00,0,8939,460,0,220,0,138,0,3,2946,0,0,0,12706,21.35
2023/01/09,04:00,0,9034,472,0,219,0,127,0,119,2886,0,0,0,12857,21.5
2023/01/09,05:00,0,9226,512,0,220,0,128,0,133,2964,0,0,0,13183,19.2
2023/01/09,06:00,0,10923,530,1,220,0,140,0,107,2242,0,0,0,14163,21.05
2023/01/09,07:00,0,12153,527,0,218,494,117,0,21,2211,0,0,0,15741,24.73
2023/01/09,08:00,0,12362,554,0,216,2720,103,0,241,1365,0,0,0,17561,24.18
2023/01/09,09:00,0,10981,527,0,217,4705,88,0,139,1313,0,0,0,17970,21.18
2023/01/09,10:00,0,9535,514,0,217,5909,88,0,103,976,0,0,0,17342,18.29
2023/01/09,11:00,0,8710,486,0,216,6254,110,0,154,856,0,0,0,16786,13
2023/01/09,12:00,0,7584,470,0,216,5881,133,-140,0,1737,0,0,0,15881,6.5
2023/01/09,13:00,0,8681,490,0,218,4796,148,0,60,1740,0,0,0,16133,13.68
2023/01/09,14:00,0,9423,561,0,217,3121,153,0,164,2517,0,0,0,16156,17.58
2023/01/09,15:00,0,10731,725,0,215,1353,147,0,76,2856,0,0,0,16103,20.72
2023/01/09,16:00,0,12452,890,0,217,166,143,0,403,2509,0,0,0,16780,22.62
2023/01/09,17:00,0,13171,978,0,218,0,146,0,371,2504,0,0,0,17388,24.15
2023/01/09,18:00,0,13747,977,0,218,0,143,0,192,2078,0,0,0,17355,24.54
2023/01/09,19:00,0,13675,945,0,218,0,150,0,101,1892,0,0,0,16981,24.46
2023/01/09,20:00,0,12952,675,1,219,0,128,0,3,2665,0,0,0,16643,23.54
2023/01/09,21:00,0,13009,575,0,219,0,128,0,3,2121,0,0,0,16055,21.95
2023/01/09,22:00,0,12362,498,0,218,0,139,0,3,2002,0,0,0,15222,21.24
2023/01/09,23:00,0,12165,465,0,216,0,160,0,3,1740,0,0,0,14749,19.66
2023/01/10,00:00,0,10852,509,0,219,0,183,0,3,2085,0,0,0,13851,20.29
2023/01/10,01:00,0,9833,520,0,218,0,219,0,3,2820,0,0,0,13613,20
2023/01/10,02:00,0,9980,535,0,218,0,231,0,3,2859,0,0,0,13826,20
2023/01/10,03:00,0,10223,574,0,220,0,265,0,3,2768,0,0,0,14053,20
2023/01/10,04:00,0,10561,568,0,217,0,267,0,3,2565,0,0,0,14181,19.91
2023/01/10,05:00,0,11601,589,0,218,0,258,0,3,2254,0,0,0,14923,19.87
2023/01/10,06:00,0,13219,571,1,216,0,270,0,3,2167,0,0,0,16447,20.75
2023/01/10,07:00,0,14260,731,0,217,551,249,0,29,2096,0,0,0,18133,24.48
2023/01/10,08:00,0,13865,767,0,212,2529,255,0,20,2689,0,0,0,20337,23.02
2023/01/10,09:00,0,13142,740,0,209,4058,254,0,74,2422,0,0,0,20899,22.32
2023/01/10,10:00,0,12108,728,0,210,5207,245,0,98,1737,0,0,0,20333,17.84
2023/01/10,11:00,0,10815,679,0,210,5769,265,0,85,2082,0,0,0,19905,18.7
2023/01/10,12:00,0,9909,647,0,212,5904,269,0,81,1749,0,0,0,18771,14.87
2023/01/10,13:00,0,10697,693,0,212,5478,253,0,504,1680,0,0,0,19517,17.72
2023/01/10,14:00,0,11646,773,0,212,4419,237,0,469,1631,0,0,0,19387,15.51
2023/01/10,15:00,0,13358,985,0,215,2588,239,0,543,1468,0,0,0,19396,20.66
2023/01/10,16:00,0,14882,1080,0,216,417,205,0,453,2545,0,0,0,19798,27.92
2023/01/10,17:00,0,15589,1172,0,219,0,195,0,473,2549,0,0,0,20197,31.92
2023/01/10,18:00,0,15777,1171,0,225,0,193,0,315,2346,0,0,0,20027,28.32
2023/01/10,19:00,0,15417,1143,0,227,0,204,0,114,2247,0,0,0,19352,24.48
2023/01/10,20:00,0,15553,950,1,227,0,201,0,91,1887,0,0,0,18910,22.55
2023/01/10,21:00,0,15281,705,0,228,0,197,0,252,1740,0,0,0,18403,21.65
2023/01/10,22:00,0,14916,623,0,226,0,182,0,89,1303,0,0,0,17339,22.92
2023/01/10,23:00,0,14475,595,0,228,0,179,0,3,1395,0,0,0,16875,20.62
2023/01/11,00:00,0,13105,534,0,227,0,161,0,3,1935,0,0,0,15965,21.23
2023/01/11,01:00,0,12322,524,0,227,0,148,0,3,2387,0,0,0,15611,19.68
2023/01/11,02:00,0,12554,522,0,228,0,160,0,6,2219,0,0,0,15689,19.78
2023/01/11,03:00,0,12376,535,0,228,0,152,0,16,2319,0,0,0,15626,19.92
2023/01/11,04:00,0,12389,538,0,227,0,132,0,16,2264,0,0,0,15566,20.55
2023/01/11,05:00,0,13085,566,0,227,0,126,0,126,1931,0,0,0,16061,21.56
2023/01/11,06:00,0,14948,633,1,227,0,142,0,219,1702,0,0,0,17872,23.97
2023/01/11,07:00,0,15355,720,0,225,710,129,0,1049,1419,0,0,0,19607,27.51
2023/01/11,08:00,0,14907,811,0,222,3156,101,0,478,1978,0,0,0,21653,27.01
2023/01/11,09:00,0,13956,758,0,222,5436,78,0,217,1274,0,0,0,21941,24.93
2023/01/11,10:00,0,11953,743,0,222,6633,88,0,16,1205,0,0,0,20860,21.02
2023/01/11,11:00,0,10003,722,0,223,7239,84,0,16,1683,0,0,0,19970,17.26
2023/01/11,12:00,0,8654,701,0,224,7207,97,0,11,1585,0,0,0,18479,12.1
2023/01/11,13:00,0,9548,715,0,223,6295,102,0,53,1896,0,0,0,18832,16.25
2023/01/11,14:00,0,9959,771,0,221,4915,89,0,41,2621,0,0,0,18617,18.9
2023/01/11,15:00,0,11462,921,0,224,2929,84,0,88,2762,0,0,0,18470,22.81
2023/01/11,16:00,0,13270,1055,0,226,589,71,0,127,3537,0,0,0,18875,27.46
2023/01/11,17:00,0,14850,1119,0,227,0,79,0,252,2943,0,0,0,19470,31.2
2023/01/11,18:00,0,15069,1122,0,225,0,61,0,181,2832,0,0,0,19490,26.31
2023/01/11,19:00,0,15198,1111,0,226,0,34,0,110,2421,0,0,0,19100,23.68
2023/01/11,20:00,0,14977,892,0,226,0,24,0,84,2494,0,0,0,18697,22.85
2023/01/11,21:00,0,15091,666,1,226,0,17,0,26,2132,0,0,0,18159,22.38
2023/01/11,22:00,0,14890,606,0,226,0,17,0,104,1419,0,0,0,17262,20.8
2023/01/11,23:00,0,14556,579,0,228,0,35,0,3,1359,0,0,0,16760,18.72
2023/01/12,00:00,0,13474,527,0,227,0,34,0,3,1772,0,0,0,16037,20.81
2023/01/12,01:00,0,12578,510,0,228,0,42,0,3,2377,0,0,0,15738,20
2023/01/12,02:00,0,12612,498,0,227,0,28,0,3,2338,0,0,0,15706,20.69
2023/01/12,03:00,0,12835,518,0,228,0,37,0,3,2109,0,0,0,15730,21.27
2023/01/12,04:00,0,12689,491,0,226,0,48,0,24,2147,0,0,0,15625,21.3
2023/01/12,05:00,0,13173,497,0,227,0,76,0,16,2206,0,0,0,16195,21.56
2023/01/12,06:00,0,14722,596,0,226,0,99,0,532,1778,0,0,0,17953,22.47
2023/01/12,07:00,0,14393,731,1,225,701,95,0,1209,2337,0,0,0,19692,29
2023/01/12,08:00,0,14042,801,0,224,3320,72,0,1026,2212,0,0,0,21697,23.29
2023/01/12,09:00,0,13504,712,0,222,5287,69,0,425,1773,0,0,0,21992,22.44
2023/01/12,10:00,0,11484,639,0,223,6480,76,0,83,1811,0,0,0,20796,19.81
2023/01/12,11:00,0,10466,574,0,225,6976,81,0,48,1439,0,0,0,19809,17.59
2023/01/12,12:00,0,9306,505,0,225,6896,89,0,48,1101,0,0,0,18170,10.89
2023/01/12,13:00,0,9799,601,0,221,6172,67,0,88,1519,0,0,0,18467,14.61
2023/01/12,14:00,0,10365,653,0,224,4749,60,0,172,2056,0,0,0,18279,19.55
2023/01/12,15:00,0,11772,826,0,226,2692,53,0,474,2028,0,0,0,18071,21.9
2023/01/12,16:00,0,13775,1031,0,227,488,43,0,233,2633,0,0,0,18430,24.68
2023/01/12,17:00,0,14525,1038,0,228,0,66,0,330,2816,0,0,0,19003,26.55
2023/01/12,18:00,0,14643,1059,0,227,0,51,0,223,2827,0,0,0,19030,24.17
2023/01/12,19:00,0,14600,1068,0,229,0,42,0,217,2418,0,0,0,18574,23.12
2023/01/12,20:00,0,14409,882,0,226,0,40,0,36,2533,0,0,0,18126,23.18
2023/01/12,21:00,0,14506,660,1,228,0,42,0,3,2073,0,0,0,17513,22.34
2023/01/12,22:00,0,13728,631,0,227,0,30,0,3,2111,0,0,0,16730,22.75
