,,Kyushu,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kyushu
2023/01/11,16:00,3001,7831,157,149,509,1189,7,-209,0,0,-2280,0,0,10354,23.5
2023/01/11,17:00,3002,9076,305,149,514,66,9,0,366,0,-2576,0,0,10911,24.41
2023/01/11,18:00,2995,9095,505,149,514,0,13,0,826,0,-2604,0,0,11493,26.31
2023/01/11,19:00,2996,9103,490,149,516,0,16,0,724,0,-2650,0,0,11344,23.68
2023/01/11,20:00,2999,9103,303,149,514,0,23,0,672,0,-2728,0,0,11035,22.85
2023/01/11,21:00,3000,9039,207,149,514,0,25,0,379,0,-2716,0,0,10597,22.38
2023/01/11,22:00,3000,8758,159,149,512,0,32,0,53,0,-2562,0,0,10101,20.8
2023/01/11,23:00,3000,8129,124,149,516,0,43,0,0,0,-2398,0,0,9563,18.72
2023/01/12,00:00,3001,7547,137,149,515,0,46,0,0,0,-2290,0,0,9105,20.81
2023/01/12,01:00,3000,7387,133,149,510,0,53,0,0,0,-2130,0,0,9102,20
2023/01/12,02:00,2998,8091,129,149,515,0,56,0,0,0,-2340,0,0,9598,20.69
2023/01/12,03:00,2997,8437,127,149,515,0,60,0,68,0,-2296,0,0,10057,21.27
2023/01/12,04:00,2998,8647,150,148,511,0,68,0,99,0,-2402,0,0,10219,21.3
2023/01/12,05:00,2999,8887,158,149,517,0,58,0,99,0,-2460,0,0,10407,21.3
2023/01/12,06:00,3000,9087,275,149,516,0,75,0,254,0,-2564,0,0,10792,21.62
2023/01/12,07:00,3003,9209,396,149,513,74,92,0,649,0,-2732,0,0,11353,24.66
