,,Shikoku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Shikoku
2023/01/11,22:00,880,3500,60,0,180,0,10,0,0,1300,0,0,0,3330,20.8
2023/01/11,23:00,880,3350,50,0,180,0,20,0,0,1230,0,0,0,3250,18.72
2023/01/12,00:00,880,3280,40,0,180,0,20,0,0,1230,0,0,0,3170,20.81
2023/01/12,01:00,880,3310,30,0,180,0,20,0,0,1170,0,0,0,3250,20
2023/01/12,02:00,880,3300,30,0,180,0,20,0,0,980,0,0,0,3430,20.69
2023/01/12,03:00,880,3380,40,0,180,0,20,0,0,950,0,0,0,3550,21.27
2023/01/12,04:00,880,3420,30,0,180,0,20,0,0,970,0,0,0,3560,21.3
2023/01/12,05:00,880,3510,60,0,180,0,10,0,0,1070,0,0,0,3570,21.56
2023/01/12,06:00,880,3930,150,0,180,0,10,0,0,1410,0,0,0,3740,22.46
2023/01/12,07:00,880,3980,200,0,180,90,10,0,110,1540,0,0,0,3910,24.66
2023/01/12,08:00,880,3990,110,0,180,600,10,0,240,1730,0,0,0,4280,23.29
2023/01/12,09:00,880,3460,70,0,180,1200,10,0,0,1650,0,0,0,4150,22.44
2023/01/12,10:00,880,3120,70,0,180,1630,10,0,0,1950,0,0,0,3940,19.81
2023/01/12,11:00,880,2730,80,0,180,1790,10,0,0,1820,0,0,0,3850,17.59
2023/01/12,12:00,880,2750,70,0,180,1710,10,0,290,1680,0,0,0,3630,10.89
2023/01/12,13:00,880,2780,80,0,180,1490,10,0,150,1570,0,0,0,3700,14.61
2023/01/12,14:00,880,3100,80,0,180,1080,10,0,0,1660,0,0,0,3670,18.06
2023/01/12,15:00,880,3720,100,0,180,610,10,0,0,1800,0,0,0,3700,20.87
2023/01/12,16:00,880,3970,180,0,180,190,30,0,0,1690,0,0,0,3740,21.8
2023/01/12,17:00,880,3820,250,0,180,0,40,0,20,1390,0,0,0,3800,23.44
2023/01/12,18:00,880,4050,290,0,180,0,40,0,20,1620,0,0,0,3840,23.72
2023/01/12,19:00,880,3850,210,0,180,0,50,0,0,1460,0,0,0,3710,22.54
2023/01/12,20:00,880,3680,170,0,180,0,50,0,0,1390,0,0,0,3570,21.58
2023/01/12,21:00,880,3610,90,0,180,0,60,0,0,1460,0,0,0,3360,21.36
2023/01/12,22:00,880,3480,80,0,180,0,70,0,0,1580,0,0,0,3110,20.28
2023/01/12,23:00,880,3250,50,0,180,0,70,0,0,1430,0,0,0,3000,19.64
2023/01/13,00:00,880,3280,50,0,180,0,70,0,0,1570,0,0,0,2890,19.87
